,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
327,Serbia,2019,111.07,6041.02,534.06,1501.76,40.575,4.055,58.835,632.455,224.68,283.515,9165.755,5655.055
328,Serbia,2020,91.3,4818.07,378.385,1111.315,38.55,2.03,47.17,429.105,199.335,246.51,7723.92,5463.755
329,Serbia,2021,98.92,4983.99,594.02,1369.14,37.03,7.1,58.335,409.37,276.975,335.815,8807.84,4951.015
330,Serbia,2022,73.565,4815.315,507.865,1694.57,35.515,5.58,54.795,363.775,190.765,245.56,8919.32,5370.365
331,Serbia,2023,56.845,4492.135,355.78,,39.585,5.075,44.155,329.385,228.39,272.545,7502.8,5148.88
332,Slovakia,2014,,4800.53,,,36.665,42.265,43.795,346.28,27.5,347.805,15183.26,819.355
333,Slovakia,2015,,3494.285,,,24.445,43.285,44.3,274.47,38.19,328.45,12267.685,891.14
334,Slovakia,2016,36.155,3187.685,53.47,1177.305,30.555,51.94,41.755,267.845,30.045,334.045,11268.915,760.255
335,Slovakia,2017,65.175,2912.62,85.035,1457.835,40.735,45.32,48.885,238.305,44.3,358.985,10334.195,753.615
336,Slovakia,2018,34.115,2305.595,76.885,1340.685,34.115,46.845,50.41,241.865,38.7,339.625,8774.29,800.95
337,Slovakia,2019,31.57,1881.395,69.25,1152.77,38.695,48.37,49.39,208.76,39.715,355.405,7533.735,877.305
338,Slovakia,2020,33.605,1896.625,66.7,1010.175,32.075,26.985,46.845,165.475,30.04,315.17,7129.785,760.175
339,Slovakia,2021,48.88,1653.235,94.705,973.0,28.005,27.495,46.845,147.145,36.66,300.91,4989.24,902.23
340,Slovakia,2022,34.625,1792.895,69.76,1080.525,21.385,24.44,54.485,159.38,44.81,305.52,5711.7,771.945
341,Slovakia,2023,17.315,1867.275,41.755,,31.57,23.425,50.92,169.565,36.155,299.415,6021.92,693.035
342,Slovenia,2014,,7131.495,,,8.91,2.62,84.405,155.705,33.025,117.43,15781.77,871.32
343,Slovenia,2015,,5373.965,,,10.485,1.575,67.1,121.625,23.065,90.165,11951.58,910.6
344,Slovenia,2016,104.32,5612.85,607.575,2297.67,5.24,1.575,86.495,118.475,34.075,120.57,11215.22,753.31
345,Slovenia,2017,41.935,4587.82,509.0,2097.86,9.96,0.525,82.825,124.76,34.075,116.895,10766.595,851.305
346,Slovenia,2018,56.615,4401.63,111.655,2048.015,4.72,3.145,72.34,168.79,25.685,98.02,9739.47,795.2
347,Slovenia,2019,96.945,4368.82,114.76,2084.585,7.335,5.765,95.375,164.545,30.92,126.29,13773.025,718.965
348,Slovenia,2020,156.11,4338.055,163.445,1783.73,5.76,1.57,76.485,133.585,36.145,112.63,12797.29,783.69
349,Slovenia,2021,97.935,2486.565,130.405,1826.695,4.715,2.095,91.125,116.265,33.515,124.645,9496.925,744.19
350,Slovenia,2022,100.03,2934.45,327.33,1917.37,6.81,0.525,114.175,112.6,37.185,151.36,11286.87,723.27
351,Slovenia,2023,54.98,3232.3,111.005,,6.805,1.57,135.095,152.895,45.03,180.125,13035.485,677.565
352,Spain,2014,,86388.9,,,161.845,49.605,620.83,35503.67,4123.345,4744.18,94265.805,6719.915
353,Spain,2015,,79760.435,,,151.325,46.6,615.825,32360.015,3140.245,3756.07,121169.435,6047.49
354,Spain,2016,38.08,78336.395,573.23,91699.535,147.315,47.1,625.845,31543.78,3746.55,4372.395,101261.18,6237.4
355,Spain,2017,36.075,71542.535,564.71,107528.11,153.83,34.575,694.99,30947.87,4047.18,4742.17,99967.035,6492.925
356,Spain,2018,40.085,70390.085,488.045,144900.89,144.81,40.585,851.82,30212.115,4966.62,5818.445,99405.155,7081.645
357,Spain,2019,27.06,65928.715,442.94,164156.995,165.855,44.595,938.495,33007.175,5590.885,6529.38,102603.72,8329.71
358,Spain,2020,23.55,66993.24,381.805,180656.37,149.315,38.08,799.685,22679.315,4768.05,5567.74,62365.02,8574.075
